Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-01-06,2158,636.0,640.0,618.0,618.0,618.0,187100
2025-01-07,2158,618.0,624.0,616.0,617.0,617.0,134900
2025-01-08,2158,618.0,625.0,616.0,619.0,619.0,80000
2025-01-09,2158,620.0,627.0,615.0,615.0,615.0,111800
2025-01-10,2158,612.0,613.0,605.0,605.0,605.0,113100
2025-01-14,2158,606.0,608.0,597.0,603.0,603.0,157600
2025-01-15,2158,603.0,607.0,594.0,603.0,603.0,117900
2025-01-16,2158,600.0,603.0,592.0,593.0,593.0,118500
2025-01-17,2158,593.0,598.0,586.0,594.0,594.0,102900
2025-01-20,2158,597.0,610.0,597.0,605.0,605.0,87700
2025-01-21,2158,608.0,611.0,602.0,607.0,607.0,58900
2025-01-22,2158,610.0,616.0,607.0,616.0,616.0,65900
2025-01-23,2158,616.0,620.0,610.0,610.0,610.0,72400
2025-01-24,2158,605.0,629.0,605.0,625.0,625.0,167600
2025-01-27,2158,635.0,640.0,623.0,624.0,624.0,117200
2025-01-28,2158,615.0,640.0,614.0,638.0,638.0,256900
2025-01-29,2158,640.0,663.0,637.0,652.0,652.0,277500
2025-01-30,2158,650.0,652.0,644.0,645.0,645.0,110800
2025-01-31,2158,646.0,657.0,640.0,654.0,654.0,122900
2025-02-03,2158,645.0,649.0,637.0,638.0,638.0,110400
2025-02-04,2158,646.0,647.0,626.0,628.0,628.0,128400
2025-02-05,2158,630.0,644.0,630.0,641.0,641.0,71100
2025-02-06,2158,641.0,653.0,638.0,642.0,642.0,71900
2025-02-07,2158,642.0,642.0,630.0,631.0,631.0,62900
2025-02-10,2158,631.0,641.0,630.0,636.0,636.0,57400
2025-02-12,2158,641.0,643.0,635.0,639.0,639.0,114000
2025-02-13,2158,646.0,647.0,635.0,642.0,642.0,108000
2025-02-14,2158,651.0,657.0,637.0,642.0,642.0,248200
2025-02-17,2158,672.0,683.0,628.0,653.0,653.0,858000
2025-02-18,2158,655.0,685.0,655.0,676.0,676.0,336300
2025-02-19,2158,672.0,683.0,661.0,678.0,678.0,212600
2025-02-20,2158,668.0,688.0,658.0,660.0,660.0,260200
2025-02-21,2158,653.0,665.0,643.0,644.0,644.0,124900
2025-02-25,2158,620.0,625.0,604.0,605.0,605.0,393400
2025-02-26,2158,604.0,609.0,599.0,602.0,602.0,193600
2025-02-27,2158,605.0,617.0,600.0,602.0,602.0,197900
2025-02-28,2158,598.0,604.0,588.0,588.0,588.0,328000
2025-03-03,2158,598.0,600.0,587.0,591.0,591.0,129800
2025-03-04,2158,586.0,590.0,574.0,585.0,585.0,219900
2025-03-05,2158,605.0,612.0,594.0,601.0,601.0,301800
2025-03-06,2158,611.0,614.0,596.0,598.0,598.0,169300
2025-03-07,2158,591.0,597.0,585.0,587.0,587.0,185600
2025-03-10,2158,597.0,602.0,586.0,596.0,596.0,143400
2025-03-11,2158,591.0,596.0,583.0,596.0,596.0,136300
2025-03-12,2158,590.0,599.0,590.0,598.0,598.0,85500
2025-03-13,2158,604.0,604.0,590.0,590.0,590.0,91000
2025-03-14,2158,585.0,594.0,585.0,590.0,590.0,137400
2025-03-17,2158,591.0,596.0,589.0,589.0,589.0,122300
2025-03-18,2158,589.0,597.0,584.0,593.0,593.0,193200
2025-03-19,2158,594.0,604.0,594.0,599.0,599.0,95000
2025-03-21,2158,597.0,601.0,592.0,592.0,592.0,120800
2025-03-24,2158,593.0,594.0,582.0,584.0,584.0,177200
2025-03-25,2158,583.0,594.0,583.0,588.0,588.0,155600
2025-03-26,2158,588.0,614.0,588.0,604.0,604.0,260200
2025-03-27,2158,600.0,603.0,595.0,598.0,598.0,100000
2025-03-28,2158,600.0,607.0,594.0,595.0,595.0,188200
2025-03-31,2158,589.0,592.0,576.0,578.0,578.0,210400
2025-04-01,2158,578.0,581.0,570.0,570.0,570.0,164000
2025-04-02,2158,570.0,572.0,563.0,563.0,563.0,142700
2025-04-03,2158,523.0,555.0,523.0,551.0,551.0,262900
2025-04-04,2158,538.0,539.0,500.0,514.0,514.0,467800
2025-04-07,2158,463.0,483.0,452.0,455.0,455.0,456800
2025-04-08,2158,487.0,504.0,487.0,496.0,496.0,370900
2025-04-09,2158,489.0,492.0,465.0,478.0,478.0,305100
2025-04-10,2158,522.0,522.0,506.0,509.0,509.0,158600
2025-04-11,2158,491.0,523.0,487.0,519.0,519.0,150100
2025-04-14,2158,527.0,540.0,524.0,527.0,527.0,118500
2025-04-15,2158,531.0,539.0,531.0,534.0,534.0,77900
2025-04-16,2158,536.0,539.0,520.0,521.0,521.0,88800
2025-04-17,2158,522.0,531.0,519.0,531.0,531.0,53700
2025-04-18,2158,530.0,549.0,529.0,547.0,547.0,132600
2025-04-21,2158,550.0,561.0,549.0,553.0,553.0,104600
2025-04-22,2158,554.0,561.0,543.0,546.0,546.0,92900
2025-04-23,2158,556.0,560.0,550.0,550.0,550.0,63700
2025-04-24,2158,554.0,562.0,551.0,558.0,558.0,119000
2025-04-25,2158,564.0,600.0,563.0,598.0,598.0,249600
2025-04-28,2158,600.0,600.0,589.0,600.0,600.0,141900
2025-04-30,2158,599.0,600.0,592.0,597.0,597.0,93700
2025-05-01,2158,599.0,605.0,598.0,600.0,600.0,75300
2025-05-02,2158,601.0,609.0,595.0,607.0,607.0,121500
2025-05-07,2158,604.0,612.0,601.0,603.0,603.0,94000
2025-05-08,2158,603.0,608.0,597.0,604.0,604.0,59600
2025-05-09,2158,607.0,613.0,603.0,604.0,604.0,102200
2025-05-12,2158,608.0,621.0,603.0,611.0,611.0,125200
2025-05-13,2158,612.0,623.0,605.0,606.0,606.0,142700
2025-05-14,2158,613.0,613.0,601.0,607.0,607.0,93700
2025-05-15,2158,602.0,613.0,598.0,612.0,612.0,240700
2025-05-16,2158,612.0,636.0,599.0,631.0,631.0,495600
2025-05-19,2158,637.0,648.0,627.0,635.0,635.0,241100
2025-05-20,2158,634.0,643.0,610.0,615.0,615.0,253800
2025-05-21,2158,615.0,619.0,588.0,588.0,588.0,319900
2025-05-22,2158,585.0,600.0,585.0,588.0,588.0,180600
2025-05-23,2158,588.0,594.0,588.0,588.0,588.0,140100
2025-05-26,2158,598.0,606.0,594.0,597.0,597.0,127900
2025-05-27,2158,607.0,614.0,605.0,614.0,614.0,131400
2025-05-28,2158,623.0,631.0,622.0,631.0,631.0,178300
2025-05-29,2158,631.0,639.0,620.0,623.0,623.0,187500
2025-05-30,2158,620.0,648.0,620.0,641.0,641.0,307900
2025-06-02,2158,651.0,656.0,635.0,635.0,635.0,177100
2025-06-03,2158,632.0,636.0,615.0,619.0,619.0,253000
2025-06-04,2158,619.0,626.0,609.0,611.0,611.0,177700
2025-06-05,2158,610.0,647.0,610.0,615.0,615.0,434200
2025-06-06,2158,615.0,619.0,603.0,606.0,606.0,207700
2025-06-09,2158,608.0,623.0,608.0,618.0,618.0,184300
2025-06-10,2158,618.0,645.0,618.0,633.0,633.0,359200
2025-06-11,2158,649.0,653.0,637.0,642.0,642.0,361900
2025-06-12,2158,640.0,649.0,636.0,647.0,647.0,186800
